	Tissue
GTEX-15DCD-0011-R9b-SM-7KUED	Brain - Spinal cord (cervical c-1)
GTEX-1JMLX-3026-SM-EV79Q	Brain - Cerebellum
GTEX-T2IS-0011-R2A-SM-32QPF	Brain - Substantia nigra
GTEX-15EO6-0011-R7a-SM-6M46Q	Brain - Putamen (basal ganglia)
GTEX-14E6C-0011-R9a-SM-6EU33	Brain - Spinal cord (cervical c-1)
GTEX-14JIY-0011-R10a-SM-6AJAO	Brain - Frontal Cortex (BA9)
GTEX-ZE7O-0011-R11a-SM-57WBC	Brain - Cerebellar Hemisphere
GTEX-1QEPI-3026-SM-EXOIW	Brain - Cerebellum
GTEX-14PJO-0011-R3a-SM-6AJBY	Brain - Anterior cingulate cortex (BA24)
GTEX-15DCD-0011-R4a-SM-69LPB	Brain - Amygdala
GTEX-1EKGG-0011-R7a-SM-CKZNN	Brain - Putamen (basal ganglia)
GTEX-OHPN-0011-R4A-SM-2I5FD	Brain - Amygdala
GTEX-12WSE-0011-R11b-SM-5P9JW	Brain - Cerebellar Hemisphere
GTEX-1H1DG-0011-R10b-SM-CE6S7	Brain - Frontal Cortex (BA9)
GTEX-1J8Q2-0011-R11a-SM-A9SKI	Brain - Cerebellar Hemisphere
GTEX-11NV4-2126-SM-5N9DS	Brain - Cortex
GTEX-12ZZX-0011-R11a-SM-5DUVJ	Brain - Cerebellar Hemisphere
GTEX-1HGF4-0011-R10b-SM-CE6S5	Brain - Frontal Cortex (BA9)
GTEX-1IKJJ-2926-SM-A9G2N	Brain - Cortex
GTEX-15ER7-0011-R9b-SM-6PALF	Brain - Spinal cord (cervical c-1)
GTEX-13G51-0011-R6b-SM-5LZX4	Brain - Nucleus accumbens (basal ganglia)
GTEX-1IDJH-0011-R7a-SM-A9SM1	Brain - Putamen (basal ganglia)
GTEX-1GN2E-0011-R5b-SM-CJI2M	Brain - Caudate (basal ganglia)
GTEX-1HFI6-0011-R8a-SM-ARZLP	Brain - Hypothalamus
GTEX-1BAJH-0011-R9b-SM-7EPIQ	Brain - Spinal cord (cervical c-1)
GTEX-S7PM-0011-R6A-SM-3NM8F	Brain - Nucleus accumbens (basal ganglia)
GTEX-12WSA-0011-R4a-SM-57WB7	Brain - Amygdala
GTEX-14ASI-0011-R11b-SM-6AJBJ	Brain - Cerebellar Hemisphere
GTEX-1H1CY-0011-R4b-SM-CJI3G	Brain - Amygdala
GTEX-1JMQJ-0011-R5a-SM-EYYXO	Brain - Caudate (basal ganglia)
GTEX-12ZZX-0011-R3b-SM-5EGLH	Brain - Anterior cingulate cortex (BA24)
GTEX-13N2G-0011-R10a-SM-5MR34	Brain - Frontal Cortex (BA9)
GTEX-11GSO-2926-SM-5HL73	Brain - Cortex
GTEX-QDT8-0011-R5A-SM-32PKN	Brain - Caudate (basal ganglia)
GTEX-1RDX4-3226-SM-DPS14	Brain - Cerebellum
GTEX-16GPK-0011-R10b-SM-7MKFG	Brain - Frontal Cortex (BA9)
GTEX-145MG-0011-R10a-SM-5PNWG	Brain - Frontal Cortex (BA9)
GTEX-12WSH-3126-SM-5LZW8	Brain - Cerebellum
GTEX-15CHQ-0011-R1a-SM-COH27	Brain - Hippocampus
GTEX-15DYW-0011-R7a-SM-7KULG	Brain - Putamen (basal ganglia)
GTEX-16GPK-3026-SM-79ON9	Brain - Cortex
GTEX-131YS-0011-R3b-SM-5DUXB	Brain - Anterior cingulate cortex (BA24)
GTEX-1GMR8-0011-R5b-SM-9QEIH	Brain - Caudate (basal ganglia)
GTEX-17F97-0011-R8a-SM-7DUET	Brain - Hypothalamus
GTEX-145LS-0011-R6b-SM-5PNWL	Brain - Nucleus accumbens (basal ganglia)
GTEX-1B933-0011-R11a-SM-7P8PM	Brain - Cerebellar Hemisphere
GTEX-Z93S-2926-SM-57WB9	Brain - Cortex
GTEX-QDT8-0011-R3A-SM-32PKR	Brain - Anterior cingulate cortex (BA24)
GTEX-12584-0011-R6a-SM-5NQ7C	Brain - Nucleus accumbens (basal ganglia)
GTEX-183WM-0011-R7b-SM-731AX	Brain - Putamen (basal ganglia)
GTEX-13NYS-0011-R4b-SM-5MR3O	Brain - Amygdala
GTEX-11DZ1-0011-R7a-SM-DNZZH	Brain - Putamen (basal ganglia)
GTEX-14ASI-0011-R2b-SM-5YY9H	Brain - Substantia nigra
GTEX-1IGQW-0011-R11a-SM-C1YRV	Brain - Cerebellar Hemisphere
GTEX-ZVZQ-0011-R10b-SM-51MRT	Brain - Frontal Cortex (BA9)
GTEX-1F6I4-0011-R10b-SM-9OSWT	Brain - Frontal Cortex (BA9)
GTEX-1KD4Q-2926-SM-D3L9N	Brain - Cortex
GTEX-11GSP-0011-R1a-SM-9QEJ3	Brain - Hippocampus
GTEX-12WSF-0011-R11a-SM-5LZVT	Brain - Cerebellar Hemisphere
GTEX-1JMQJ-3126-SM-EV79G	Brain - Cerebellum
GTEX-13OW7-2926-SM-5MR3Z	Brain - Cerebellum
GTEX-13CZV-0011-R5a-SM-5K7XA	Brain - Caudate (basal ganglia)
GTEX-YFC4-0011-R6b-SM-4V6E1	Brain - Nucleus accumbens (basal ganglia)
GTEX-14PJO-0011-R2a-SM-5ZZVF	Brain - Substantia nigra
GTEX-12WSM-0011-R5a-SM-5EQ4Y	Brain - Caudate (basal ganglia)
GTEX-OXRO-0011-R2A-SM-3NB1W	Brain - Substantia nigra
GTEX-1HCU6-0011-R11b-SM-AHZ2F	Brain - Cerebellar Hemisphere
GTEX-1IL2U-0011-R6a-SM-ARZLG	Brain - Nucleus accumbens (basal ganglia)
GTEX-1EKGG-0011-R6a-SM-CL538	Brain - Nucleus accumbens (basal ganglia)
GTEX-13O3Q-0011-R10b-SM-5KM39	Brain - Frontal Cortex (BA9)
GTEX-1H1DG-2926-SM-9WYU3	Brain - Cortex
GTEX-15CHQ-0011-R5b-SM-6AJAN	Brain - Caudate (basal ganglia)
GTEX-ZF28-0011-R5a-SM-4WWCZ	Brain - Caudate (basal ganglia)
GTEX-Z93S-0011-R5b-SM-4RGNI	Brain - Caudate (basal ganglia)
GTEX-1H3NZ-0011-R9a-SM-ADEH7	Brain - Spinal cord (cervical c-1)
GTEX-13RTJ-3126-SM-5S2Q4	Brain - Cerebellum
GTEX-12WSH-0011-R6b-SM-5P9F4	Brain - Nucleus accumbens (basal ganglia)
GTEX-14JIY-2926-SM-69LPT	Brain - Cortex
GTEX-YJ89-0011-R5a-SM-4V6GM	Brain - Caudate (basal ganglia)
GTEX-145LS-0011-R4b-SM-5S2UT	Brain - Amygdala
GTEX-13G51-0011-R7b-SM-5LZXG	Brain - Putamen (basal ganglia)
GTEX-1HBPH-3126-SM-9WYUV	Brain - Cortex
GTEX-1J8JJ-0011-R5a-SM-D4P2G	Brain - Caudate (basal ganglia)
GTEX-ZZPT-3026-SM-5GZXH	Brain - Cortex
GTEX-11EI6-0011-R8a-SM-DO93M	Brain - Hypothalamus
GTEX-1EU9M-0011-R3a-SM-9QEHY	Brain - Anterior cingulate cortex (BA24)
GTEX-16NPV-0011-R11a-SM-7IGMK	Brain - Cerebellar Hemisphere
GTEX-13FTZ-0011-R10b-SM-5KLZS	Brain - Frontal Cortex (BA9)
GTEX-1A3MX-0011-R7a-SM-7DUEM	Brain - Putamen (basal ganglia)
GTEX-ZV68-0011-R6a-SM-51MSR	Brain - Nucleus accumbens (basal ganglia)
GTEX-13OVJ-0011-R10b-SM-5L3HT	Brain - Frontal Cortex (BA9)
GTEX-1HFI6-0011-R6b-SM-CM2SR	Brain - Nucleus accumbens (basal ganglia)
GTEX-WHSE-0011-R11A-SM-3P5YY	Brain - Cerebellar Hemisphere
GTEX-1C6VR-0011-R4b-SM-9QEGZ	Brain - Amygdala
GTEX-WZTO-0011-R7B-SM-4E3IS	Brain - Putamen (basal ganglia)
GTEX-X585-0011-R3B-SM-46MVG	Brain - Anterior cingulate cortex (BA24)
GTEX-13SLW-0011-R11a-SM-5SI8Q	Brain - Cerebellar Hemisphere
GTEX-11PRG-0011-R10b-SM-DO93G	Brain - Frontal Cortex (BA9)
GTEX-1AX9I-0011-R7b-SM-7P8Q3	Brain - Putamen (basal ganglia)
GTEX-NL4W-0011-R4a-SM-2I5GZ	Brain - Amygdala
GTEX-1JMPZ-2726-SM-ARZNF	Brain - Cortex
GTEX-UTHO-3026-SM-3GAFB	Brain - Cortex
GTEX-RNOR-2326-SM-2TF4I	Brain - Cortex
GTEX-ZVT3-0011-R11b-SM-57WBI	Brain - Cerebellar Hemisphere
GTEX-12ZZZ-0011-R7b-SM-5EGLE	Brain - Putamen (basal ganglia)
GTEX-P44H-0011-R1A-SM-3NM8J	Brain - Hippocampus
GTEX-1CB4H-0011-R3b-SM-9OSVI	Brain - Anterior cingulate cortex (BA24)
GTEX-1GF9V-0011-R1a-SM-CKZNQ	Brain - Hippocampus
GTEX-1GTWX-0011-R8a-SM-CE6RM	Brain - Hypothalamus
GTEX-1IKOH-0011-R6b-SM-A9G1W	Brain - Nucleus accumbens (basal ganglia)
GTEX-13IVO-0011-R10a-SM-5LZY3	Brain - Frontal Cortex (BA9)
GTEX-12WSD-0011-R5b-SM-5CVNG	Brain - Caudate (basal ganglia)
GTEX-1GF9V-0011-R7a-SM-CJI2R	Brain - Putamen (basal ganglia)
GTEX-12WSH-0011-R9b-SM-5LZUG	Brain - Spinal cord (cervical c-1)
GTEX-12ZZZ-0011-R10a-SM-5P9HC	Brain - Frontal Cortex (BA9)
GTEX-1H4P4-2726-SM-9JGGB	Brain - Cerebellum
GTEX-1N2DW-0011-R11b-SM-EXOIL	Brain - Cerebellar Hemisphere
GTEX-12WSD-0011-R7b-SM-5PNWE	Brain - Putamen (basal ganglia)
GTEX-1EMGI-3026-SM-7P8P6	Brain - Cortex
GTEX-1LC47-0011-R6b-SM-EZ6MI	Brain - Nucleus accumbens (basal ganglia)
GTEX-S7SE-0011-R11A-SM-2XCDD	Brain - Cerebellar Hemisphere
GTEX-145MI-0011-R6a-SM-5PNZA	Brain - Nucleus accumbens (basal ganglia)
GTEX-1GF9V-0011-R6b-SM-CJI2Q	Brain - Nucleus accumbens (basal ganglia)
GTEX-11DZ1-0011-R8b-SM-DNZZI	Brain - Hypothalamus
GTEX-13RTJ-0011-R9a-SM-5Q5AY	Brain - Spinal cord (cervical c-1)
GTEX-1CB4H-0011-R9a-SM-CKZNL	Brain - Spinal cord (cervical c-1)
GTEX-13S7M-0011-R7a-SM-5O9DK	Brain - Putamen (basal ganglia)
GTEX-12WSI-0011-R11b-SM-5P9EZ	Brain - Cerebellar Hemisphere
GTEX-145LS-3026-SM-5O99S	Brain - Cerebellum
GTEX-Y8DK-0826-SM-4TT3T	Brain - Cortex
GTEX-1B996-2926-SM-7MXUH	Brain - Cerebellum
GTEX-14BIM-0011-R11b-SM-5S2RN	Brain - Cerebellar Hemisphere
GTEX-14PN4-0011-R6b-SM-69LQU	Brain - Nucleus accumbens (basal ganglia)
GTEX-15CHQ-0011-R10b-SM-6AJBV	Brain - Frontal Cortex (BA9)
GTEX-ZE9C-0011-R4a-SM-4WKH6	Brain - Amygdala
GTEX-13OVL-0011-R11b-SM-5L3G7	Brain - Cerebellar Hemisphere
GTEX-PWO3-0926-SM-2I5EY	Brain - Cortex
GTEX-1PWST-3126-SM-EXUSE	Brain - Cortex
GTEX-OXRN-0011-R8A-SM-E9TI1	Brain - Hypothalamus
GTEX-12WSE-0011-R6b-SM-5LZV5	Brain - Nucleus accumbens (basal ganglia)
GTEX-11ONC-0011-R7b-SM-DO93J	Brain - Putamen (basal ganglia)
GTEX-1BAJH-0011-R11b-SM-7IGLM	Brain - Cerebellar Hemisphere
GTEX-1I1GV-3126-SM-A96SF	Brain - Cortex
GTEX-R55E-0011-R2A-SM-EYYV9	Brain - Substantia nigra
GTEX-ZAB4-0011-R9a-SM-4SOKG	Brain - Spinal cord (cervical c-1)
GTEX-12126-0926-SM-5FQTW	Brain - Cerebellum
GTEX-17F97-0011-R3b-SM-7LT9E	Brain - Anterior cingulate cortex (BA24)
GTEX-1N2DW-0011-R5a-SM-EYYX3	Brain - Caudate (basal ganglia)
GTEX-UTHO-0011-R6A-SM-3GIJW	Brain - Nucleus accumbens (basal ganglia)
GTEX-11GS4-3126-SM-5A5LH	Brain - Cortex
GTEX-N7MS-0011-R5a-SM-2HMK8	Brain - Caudate (basal ganglia)
GTEX-1MJK2-0011-R7a-SM-EXUS4	Brain - Putamen (basal ganglia)
GTEX-NPJ7-0011-R8a-SM-2I3G2	Brain - Hypothalamus
GTEX-RU72-0011-R9A-SM-2TF67	Brain - Spinal cord (cervical c-1)
GTEX-XLM4-0011-R7A-SM-4AT5L	Brain - Putamen (basal ganglia)
GTEX-ZVT3-0011-R10b-SM-57WB6	Brain - Frontal Cortex (BA9)
GTEX-1C6VS-3026-SM-79OLA	Brain - Cortex
GTEX-11NV4-0011-R6a-SM-57WD5	Brain - Nucleus accumbens (basal ganglia)
GTEX-13CF2-0011-R2a-SM-5L3DC	Brain - Substantia nigra
GTEX-14PJM-0011-R10a-SM-686ZP	Brain - Frontal Cortex (BA9)
GTEX-WWYW-0011-R7A-SM-3NB3H	Brain - Putamen (basal ganglia)
GTEX-1B8SF-0011-R11a-SM-79OOP	Brain - Cerebellar Hemisphere
GTEX-1J8Q2-0011-R4a-SM-ADEHA	Brain - Amygdala
GTEX-1R9K4-0011-R5b-SM-EZ6N8	Brain - Caudate (basal ganglia)
GTEX-17JCI-0011-R6a-SM-72D6D	Brain - Nucleus accumbens (basal ganglia)
GTEX-P44G-0011-R1A-SM-2I3FE	Brain - Hippocampus
GTEX-131YS-3126-SM-5KLYT	Brain - Cortex
GTEX-WHSE-2926-SM-3NMBG	Brain - Cerebellum
GTEX-Q2AG-0011-R5A-SM-2HMJH	Brain - Caudate (basal ganglia)
GTEX-X4EP-0011-R3A-SM-3P626	Brain - Anterior cingulate cortex (BA24)
GTEX-16XZZ-0011-R10b-SM-7LT91	Brain - Frontal Cortex (BA9)
GTEX-139TT-2626-SM-5LZUB	Brain - Cerebellum
GTEX-11GSP-3226-SM-5986O	Brain - Cortex
GTEX-Q2AG-0011-R8A-SM-2HMK5	Brain - Hypothalamus
GTEX-QDT8-0011-R1A-SM-32PKS	Brain - Hippocampus
GTEX-NL3H-0011-R1a-SM-48TDJ	Brain - Hippocampus
GTEX-NL3H-0011-R8a-SM-DIPDY	Brain - Hypothalamus
GTEX-1LG7Y-0011-R1a-SM-EYYWV	Brain - Hippocampus
GTEX-1HCU6-0011-R3a-SM-ARU75	Brain - Anterior cingulate cortex (BA24)
GTEX-16Z82-0011-R11a-SM-79OKJ	Brain - Cerebellar Hemisphere
GTEX-11UD1-0011-R1b-SM-5BC7D	Brain - Hippocampus
GTEX-13OW5-0011-R4b-SM-5L3HS	Brain - Amygdala
GTEX-1C6WA-0011-R8b-SM-7P8S7	Brain - Hypothalamus
GTEX-14E7W-2926-SM-5S2R8	Brain - Cerebellum
GTEX-1N2DW-2826-SM-E9TK5	Brain - Cortex
GTEX-1GN2E-0011-R8a-SM-CE6RK	Brain - Hypothalamus
GTEX-Y8DK-0011-R4A-SM-EXUR1	Brain - Amygdala
GTEX-13N1W-0011-R8a-SM-5MR56	Brain - Hypothalamus
GTEX-1RQEC-3026-SM-DPRXM	Brain - Cerebellum
GTEX-13FXS-3026-SM-5LZYO	Brain - Cerebellum
GTEX-13S7M-0011-R1b-SM-5PNZE	Brain - Hippocampus
GTEX-1212Z-0011-R1b-SM-5BC72	Brain - Hippocampus
GTEX-1H23P-2926-SM-9WYU8	Brain - Cortex
GTEX-1MJK2-0011-R9b-SM-EZ6MZ	Brain - Spinal cord (cervical c-1)
GTEX-12ZZW-0011-R7a-SM-5DUWC	Brain - Putamen (basal ganglia)
GTEX-13PVQ-0011-R3b-SM-5O9D6	Brain - Anterior cingulate cortex (BA24)
GTEX-14JG1-0011-R5a-SM-62LED	Brain - Caudate (basal ganglia)
GTEX-131XH-0011-R1a-SM-5DUWA	Brain - Hippocampus
GTEX-13NZA-0011-R5b-SM-5KM4K	Brain - Caudate (basal ganglia)
GTEX-TSE9-0011-R9A-SM-3DB7Q	Brain - Spinal cord (cervical c-1)
GTEX-13OVL-0011-R1a-SM-5L3H5	Brain - Hippocampus
GTEX-NL3H-0011-R6a-SM-2I3G8	Brain - Nucleus accumbens (basal ganglia)
GTEX-14BMV-3026-SM-5S2PQ	Brain - Cortex
GTEX-11TUW-0011-R1a-SM-DO92S	Brain - Hippocampus
GTEX-13JVG-0011-R3b-SM-5LZXF	Brain - Anterior cingulate cortex (BA24)
GTEX-1H23P-0011-R7b-SM-CKZP2	Brain - Putamen (basal ganglia)
GTEX-15DCD-0011-R10b-SM-6LPII	Brain - Frontal Cortex (BA9)
GTEX-15G19-0011-R7b-SM-6M479	Brain - Putamen (basal ganglia)
GTEX-13PL6-0011-R9b-SM-5O9CH	Brain - Spinal cord (cervical c-1)
GTEX-11H98-0011-R8a-SM-5NQ8V	Brain - Hypothalamus
GTEX-17HG3-0011-R2a-SM-7MGVX	Brain - Substantia nigra
GTEX-11WQC-0011-R11b-SM-57WD6	Brain - Cerebellar Hemisphere
GTEX-13PVQ-0011-R9b-SM-5LU3B	Brain - Spinal cord (cervical c-1)
GTEX-1F75W-3126-SM-7P8SJ	Brain - Cerebellum
GTEX-Y8DK-0011-R5B-SM-4RTW6	Brain - Caudate (basal ganglia)
GTEX-1F48J-0011-R11b-SM-9OSWV	Brain - Cerebellar Hemisphere
GTEX-17EVQ-0011-R4b-SM-7LT94	Brain - Amygdala
GTEX-1GN2E-0011-R1b-SM-CE6RJ	Brain - Hippocampus
GTEX-1F75A-3026-SM-9KNU2	Brain - Cortex
GTEX-1HBPI-0011-R4a-SM-CJI3K	Brain - Amygdala
GTEX-1I1GS-0011-R6b-SM-CMKHE	Brain - Nucleus accumbens (basal ganglia)
GTEX-16YQH-0011-R8a-SM-7DUFB	Brain - Hypothalamus
GTEX-14PQA-0011-R1b-SM-6EU1G	Brain - Hippocampus
GTEX-145LS-0011-R10a-SM-5PNUQ	Brain - Frontal Cortex (BA9)
GTEX-11DYG-2926-SM-5H132	Brain - Cerebellum
GTEX-Q2AG-0011-R6A-SM-2HML7	Brain - Nucleus accumbens (basal ganglia)
GTEX-145MH-0011-R6a-SM-5PNZ7	Brain - Nucleus accumbens (basal ganglia)
GTEX-1445S-3026-SM-5O9BR	Brain - Cortex
GTEX-13SLX-0011-R4a-SM-5O9BJ	Brain - Amygdala
GTEX-1I1GQ-0011-R8a-SM-C1YRS	Brain - Hypothalamus
GTEX-13JVG-3126-SM-5L3FH	Brain - Cortex
GTEX-13PVQ-0011-R5b-SM-5O9DI	Brain - Caudate (basal ganglia)
GTEX-1GN73-0011-R3b-SM-9QEIL	Brain - Anterior cingulate cortex (BA24)
GTEX-11ZVC-0011-R4a-SM-5BC6Z	Brain - Amygdala
GTEX-11TTK-0011-R11b-SM-DO112	Brain - Cerebellar Hemisphere
GTEX-12WSE-0011-R7a-SM-5PNWF	Brain - Putamen (basal ganglia)
GTEX-14JIY-2326-SM-6AJAJ	Brain - Cerebellum
GTEX-14BMV-2926-SM-5TDEE	Brain - Cerebellum
GTEX-11TUW-0011-R10a-SM-DO924	Brain - Frontal Cortex (BA9)
GTEX-1HBPH-0011-R4a-SM-A96RX	Brain - Amygdala
GTEX-1I1GS-0011-R11a-SM-C1YRU	Brain - Cerebellar Hemisphere
GTEX-1JMOU-2826-SM-EV79R	Brain - Cerebellum
GTEX-145LS-3126-SM-5Q5BY	Brain - Cortex
GTEX-16Z82-0011-R8a-SM-7DUEX	Brain - Hypothalamus
GTEX-1CB4H-0011-R5b-SM-9QEGN	Brain - Caudate (basal ganglia)
GTEX-1H3O1-0011-R1b-SM-CL554	Brain - Hippocampus
GTEX-14BIM-0011-R3b-SM-5S2RL	Brain - Anterior cingulate cortex (BA24)
GTEX-14PN4-0011-R9a-SM-6LLH9	Brain - Spinal cord (cervical c-1)
GTEX-11TTK-0011-R10b-SM-DO925	Brain - Frontal Cortex (BA9)
GTEX-1E1VI-0011-R5b-SM-9WG5V	Brain - Caudate (basal ganglia)
GTEX-1HR9M-0011-R6a-SM-ARU6Z	Brain - Nucleus accumbens (basal ganglia)
GTEX-1ICLZ-2826-SM-CL53U	Brain - Cortex
GTEX-Z93S-0011-R7b-SM-4RGNK	Brain - Putamen (basal ganglia)
GTEX-13PLJ-0011-R5a-SM-5O9BG	Brain - Caudate (basal ganglia)
GTEX-1I1GR-0011-R5a-SM-CMKHD	Brain - Caudate (basal ganglia)
GTEX-17HII-0011-R8a-SM-79OK6	Brain - Hypothalamus
GTEX-OHPN-2626-SM-2I5H1	Brain - Cerebellum
GTEX-13IVO-0011-R3b-SM-5IJBJ	Brain - Anterior cingulate cortex (BA24)
GTEX-1LVAO-0011-R7a-SM-EYYWZ	Brain - Putamen (basal ganglia)
GTEX-X4EP-0011-R11B-SM-4QASK	Brain - Cerebellar Hemisphere
GTEX-18465-3026-SM-7LG6Y	Brain - Cortex
GTEX-ZXG5-0011-R5b-SM-57WBN	Brain - Caudate (basal ganglia)
GTEX-14PHW-0011-R6b-SM-5YYAR	Brain - Nucleus accumbens (basal ganglia)
GTEX-15G19-0011-R11b-SM-6LPIH	Brain - Cerebellar Hemisphere
GTEX-13JVG-0011-R4a-SM-5MR4C	Brain - Amygdala
GTEX-1192X-0011-R7b-SM-DNZZC	Brain - Putamen (basal ganglia)
GTEX-145MG-3026-SM-5RQJA	Brain - Cortex
GTEX-YFC4-0011-R11a-SM-4SOK6	Brain - Cerebellar Hemisphere
GTEX-145LU-0011-R8b-SM-5PNZG	Brain - Hypothalamus
GTEX-1A3MX-0011-R6a-SM-7P8S9	Brain - Nucleus accumbens (basal ganglia)
GTEX-16YQH-0011-R3a-SM-7EPGM	Brain - Anterior cingulate cortex (BA24)
GTEX-13PL6-0011-R6a-SM-5O9C5	Brain - Nucleus accumbens (basal ganglia)
GTEX-1O9I2-3026-SM-E76PX	Brain - Cortex
GTEX-1F75W-0011-R7a-SM-9QEI6	Brain - Putamen (basal ganglia)
GTEX-NPJ8-0011-R3a-SM-2HMIW	Brain - Anterior cingulate cortex (BA24)
GTEX-13OVH-0011-R3a-SM-5KM49	Brain - Anterior cingulate cortex (BA24)
GTEX-13NYB-0011-R8a-SM-5KM4R	Brain - Hypothalamus
GTEX-13OW5-3126-SM-5MR3Y	Brain - Cerebellum
GTEX-1I1GQ-0011-R7a-SM-CJI41	Brain - Putamen (basal ganglia)
GTEX-RNOR-0011-R4A-SM-3GAD3	Brain - Amygdala
GTEX-11GSP-0011-R3a-SM-9QEGF	Brain - Anterior cingulate cortex (BA24)
GTEX-1EMGI-0011-R1b-SM-9OSWZ	Brain - Hippocampus
GTEX-QVJO-0011-R8A-SM-447C7	Brain - Hypothalamus
GTEX-1192X-0011-R8b-SM-DO11U	Brain - Hypothalamus
GTEX-1F75A-0011-R11a-SM-AHZ35	Brain - Cerebellar Hemisphere
GTEX-1IDJH-0011-R9a-SM-ADEIN	Brain - Spinal cord (cervical c-1)
GTEX-111FC-3126-SM-5GZZ2	Brain - Cortex
GTEX-QVJO-0011-R9A-SM-2S1QH	Brain - Spinal cord (cervical c-1)
GTEX-13O3Q-3026-SM-5IJGD	Brain - Cerebellum
GTEX-1IL2U-0011-R11a-SM-CE6SO	Brain - Cerebellar Hemisphere
GTEX-13QJC-0011-R10a-SM-5SI63	Brain - Frontal Cortex (BA9)
GTEX-1JJ6O-3126-SM-CNNP8	Brain - Cortex
GTEX-1313W-0011-R2a-SM-5EGLF	Brain - Substantia nigra
GTEX-13PLJ-0011-R3a-SM-5O9DT	Brain - Anterior cingulate cortex (BA24)
GTEX-1IY9M-0011-R6a-SM-D4P28	Brain - Nucleus accumbens (basal ganglia)
GTEX-15G19-2926-SM-7KUFL	Brain - Cortex
GTEX-1EWIQ-0011-R6a-SM-ARU8G	Brain - Nucleus accumbens (basal ganglia)
GTEX-NPJ8-0011-R7a-SM-2HMJV	Brain - Putamen (basal ganglia)
GTEX-14PJO-2926-SM-686ZI	Brain - Cerebellum
GTEX-13112-0011-R8b-SM-664OV	Brain - Hypothalamus
GTEX-13FLW-0011-R10b-SM-5LZZF	Brain - Frontal Cortex (BA9)
GTEX-1CB4G-0011-R4b-SM-CJI28	Brain - Amygdala
GTEX-P44G-0011-R10A-SM-2I3FF	Brain - Frontal Cortex (BA9)
GTEX-1HUB1-0011-R5a-SM-CKZOY	Brain - Caudate (basal ganglia)
GTEX-13FHP-3026-SM-5IJBS	Brain - Cortex
GTEX-11GSO-0011-R1b-SM-57WD3	Brain - Hippocampus
GTEX-1IL2V-0011-R5a-SM-ARL78	Brain - Caudate (basal ganglia)
GTEX-P44G-0011-R7A-SM-2I3F9	Brain - Putamen (basal ganglia)
GTEX-147GR-0011-R7a-SM-5S2RP	Brain - Putamen (basal ganglia)
GTEX-144GL-0011-R6a-SM-5P9HW	Brain - Nucleus accumbens (basal ganglia)
GTEX-1HSKV-0011-R11b-SM-AHZ2E	Brain - Cerebellar Hemisphere
GTEX-1JJ6O-0011-R7b-SM-EXUTB	Brain - Putamen (basal ganglia)
GTEX-ZE7O-0011-R6a-SM-57WCI	Brain - Nucleus accumbens (basal ganglia)
GTEX-1A3MX-2926-SM-718B7	Brain - Cerebellum
GTEX-13VXU-0011-R6a-SM-5SI71	Brain - Nucleus accumbens (basal ganglia)
GTEX-145LS-0011-R3a-SM-5S2VJ	Brain - Anterior cingulate cortex (BA24)
GTEX-YJ89-2926-SM-5P9IT	Brain - Cerebellum
GTEX-17HG3-0011-R8a-SM-79OK7	Brain - Hypothalamus
GTEX-13SLW-0011-R1a-SM-5S2W7	Brain - Hippocampus
GTEX-1HUB1-0011-R3b-SM-CKZOX	Brain - Anterior cingulate cortex (BA24)
GTEX-PWO3-0011-R8A-SM-2I5GD	Brain - Hypothalamus
GTEX-1B8L1-0011-R4a-SM-7EWFJ	Brain - Amygdala
GTEX-16YQH-0011-R11b-SM-7LT98	Brain - Cerebellar Hemisphere
GTEX-14ABY-3026-SM-664NE	Brain - Cerebellum
GTEX-13NYS-0011-R10a-SM-5MR4S	Brain - Frontal Cortex (BA9)
GTEX-WWYW-0011-R1A-SM-3TW8G	Brain - Hippocampus
GTEX-Q2AG-0011-R2A-SM-2HMIT	Brain - Substantia nigra
GTEX-1HBPH-0011-R3a-SM-A96RY	Brain - Anterior cingulate cortex (BA24)
GTEX-131XW-0011-R6b-SM-5K7XY	Brain - Nucleus accumbens (basal ganglia)
GTEX-12126-0011-R11a-SM-5BC6X	Brain - Cerebellar Hemisphere
GTEX-14PQA-0011-R4b-SM-6AJBU	Brain - Amygdala
GTEX-13FHP-0011-R11b-SM-5LZXP	Brain - Cerebellar Hemisphere
GTEX-18464-0011-R2a-SM-731AL	Brain - Substantia nigra
GTEX-1GF9W-2626-SM-7P8TA	Brain - Cortex
GTEX-13112-0011-R4b-SM-5DUXL	Brain - Amygdala
GTEX-12ZZZ-0011-R11a-SM-5EGLC	Brain - Cerebellar Hemisphere
GTEX-ZDXO-0011-R3a-SM-4WKFS	Brain - Anterior cingulate cortex (BA24)
GTEX-11ONC-0011-R9b-SM-5NQ8J	Brain - Spinal cord (cervical c-1)
GTEX-1KWVE-2226-SM-CXZKN	Brain - Cerebellum
GTEX-1C6VQ-0011-R9a-SM-7SB85	Brain - Spinal cord (cervical c-1)
GTEX-145MG-0011-R3b-SM-5SI67	Brain - Anterior cingulate cortex (BA24)
GTEX-13OW6-3026-SM-5J2MI	Brain - Cortex
GTEX-1H3VE-0011-R3a-SM-CE6SK	Brain - Anterior cingulate cortex (BA24)
GTEX-ZVZQ-0011-R6b-SM-57WAY	Brain - Nucleus accumbens (basal ganglia)
